x, mm	y, mm	z, mm	Pressure, MPa
-2.0	0.0	5	9.60824432515312
-1.95	-0.4	5	10.131693610568334
-1.95	-0.35	5	10.683659984551367
-1.95	-0.3	5	11.186296671184468
-1.95	-0.25	5	11.630031034046638
-1.95	-0.2	5	12.00614763877978
-1.95	-0.15	5	12.307072268091742
-1.95	-0.1	5	12.52662531624836
-1.95	-0.05	5	12.660232733770188
-1.95	0.0	5	12.705084467898352
-1.95	0.05	5	12.660232733770188
-1.95	0.1	5	12.52662531624836
-1.95	0.15	5	12.307072268091742
-1.95	0.2	5	12.00614763877978
-1.95	0.25	5	11.630031034046638
-1.95	0.3	5	11.186296671184468
-1.95	0.35	5	10.683659984551367
-1.95	0.4	5	10.131693610568334
-1.9	-0.6	5	10.024770661607086
-1.9	-0.55	5	10.874252033089068
-1.9	-0.5	5	11.71258102529432
-1.9	-0.45	5	12.52662531624836
-1.9	-0.4	5	13.30282359190382
-1.9	-0.35	5	14.027550531346591
-1.9	-0.3	5	14.687508030073612
-1.9	-0.25	5	15.270127301610204
-1.9	-0.2	5	15.763965058165706
-1.9	-0.15	5	16.15907641980622
-1.9	-0.1	5	16.44734761916875
-1.9	-0.05	5	16.622772969971773
-1.9	0.0	5	16.681662897937574
-1.9	0.05	5	16.622772969971773
-1.9	0.1	5	16.44734761916875
-1.9	0.15	5	16.15907641980622
-1.9	0.2	5	15.763965058165706
-1.9	0.25	5	15.270127301610204
-1.9	0.3	5	14.687508030073612
-1.9	0.35	5	14.027550531346591
-1.9	0.4	5	13.30282359190382
-1.9	0.45	5	12.52662531624836
-1.9	0.5	5	11.71258102529432
-1.9	0.55	5	10.874252033089068
-1.9	0.6	5	10.024770661607086
-1.85	-0.75	5	9.814298029933045
-1.85	-0.7	5	10.874252033089068
-1.85	-0.65	5	11.963763304920464
-1.85	-0.6	5	13.069666185582744
-1.85	-0.55	5	14.177166629324631
-1.85	-0.5	5	15.270127301610191
-1.85	-0.45	5	16.331427106083037
-1.85	-0.4	5	17.343385653473433
-1.85	-0.35	5	18.288239106380026
-1.85	-0.3	5	19.148650231600868
-1.85	-0.25	5	19.9082326349603
-1.85	-0.2	5	20.552067276757764
-1.85	-0.15	5	21.067188647319337
-1.85	-0.1	5	21.44301852650202
-1.85	-0.05	5	21.67172707783727
